Timestamp,switching_state_bdc1,switching_state_bdc2,counter_value,device_temperature_c,operating_hours,signal_quality,sensing_distance_margin_pct,device_status_code,strokes_in_interval,last_cycle_time_seconds
2026-01-01 00:00:00,False,True,1500000,43.5,8000,255,100.0,0,0,0.0
2026-01-01 00:01:00,False,True,1500001,43.7,8000,255,100.0,0,1,22.12
2026-01-01 00:02:00,False,True,1500002,44.4,8000,255,100.0,0,1,22.02
2026-01-01 00:03:00,False,True,1500003,45.0,8000,255,100.0,0,1,22.01
2026-01-01 00:04:00,False,True,1500003,46.2,8000,255,100.0,0,0,0.0
2026-01-01 00:05:00,False,True,1500004,46.4,8000,255,100.0,0,1,21.91
2026-01-01 00:06:00,False,True,1500004,46.2,8000,255,100.0,0,0,0.0
2026-01-01 00:07:00,False,True,1500005,47.8,8000,255,100.0,0,1,21.77
2026-01-01 00:08:00,False,True,1500006,45.7,8000,255,100.0,0,1,21.76
2026-01-01 00:09:00,False,True,1500007,46.9,8000,255,100.0,0,1,21.67
2026-01-01 00:10:00,False,True,1500008,46.0,8000,255,100.0,0,1,21.67
2026-01-01 00:11:00,True,False,1500009,45.6,8000,255,100.0,0,1,21.57
2026-01-01 00:12:00,True,False,1500010,45.7,8000,255,100.0,0,1,21.46
2026-01-01 00:13:00,False,True,1500011,45.2,8000,255,100.0,0,1,21.89
2026-01-01 00:14:00,False,True,1500011,46.9,8000,255,100.0,0,0,0.0
2026-01-01 00:15:00,False,True,1500012,48.9,8000,255,100.0,0,1,21.75
2026-01-01 00:16:00,True,False,1500013,49.4,8000,255,100.0,0,1,21.64
2026-01-01 00:17:00,False,True,1500014,49.0,8000,255,100.0,0,1,21.5
2026-01-01 00:18:00,False,True,1500015,48.1,8000,255,100.0,0,1,21.38
2026-01-01 00:19:00,True,False,1500016,46.5,8000,255,100.0,0,1,21.53
2026-01-01 00:20:00,False,True,1500016,46.8,8000,255,100.0,0,0,0.0
2026-01-01 00:21:00,False,True,1500016,47.6,8000,255,100.0,0,0,0.0
2026-01-01 00:22:00,False,True,1500017,48.6,8000,255,100.0,0,1,21.45
2026-01-01 00:23:00,True,False,1500017,47.7,8000,255,100.0,0,0,0.0
2026-01-01 00:24:00,True,False,1500018,47.9,8000,255,100.0,0,1,21.25
2026-01-01 00:25:00,False,True,1500018,48.8,8000,255,100.0,0,0,0.0
2026-01-01 00:26:00,False,True,1500018,48.0,8000,255,100.0,0,0,0.0
2026-01-01 00:27:00,False,True,1500018,47.6,8000,255,100.0,0,0,0.0
2026-01-01 00:28:00,False,True,1500018,48.1,8000,255,100.0,0,0,0.0
2026-01-01 00:29:00,True,False,1500019,48.2,8000,255,100.0,0,1,21.23
2026-01-01 00:30:00,True,False,1500020,48.7,8000,255,100.0,0,1,21.02
2026-01-01 00:31:00,True,False,1500021,51.0,8000,255,100.0,0,1,21.29
2026-01-01 00:32:00,False,True,1500022,50.7,8000,255,100.0,0,1,21.49
2026-01-01 00:33:00,True,False,1500023,49.0,8000,255,100.0,0,1,21.53
2026-01-01 00:34:00,True,False,1500023,48.9,8000,255,100.0,0,0,0.0
2026-01-01 00:35:00,False,True,1500024,49.1,8000,255,100.0,0,1,21.66
2026-01-01 00:36:00,True,False,1500025,49.3,8000,255,100.0,0,1,21.38
2026-01-01 00:37:00,False,True,1500026,48.7,8000,255,100.0,0,1,21.67
2026-01-01 00:38:00,False,True,1500027,50.4,8000,255,100.0,0,1,21.51
2026-01-01 00:39:00,False,True,1500028,50.1,8000,255,100.0,0,1,21.33
