Timestamp,process_data_variable_raw,pressure_bar,pressure_unit,pressure_min_memory_bar,pressure_max_memory_bar,teach_sp1_bar,teach_sp2_bar,switching_output_1_active,switching_output_2_active,device_status_code,internal_temperature_c,compressor_state,pressure_trend_5min
2026-01-01 00:00:00,13330,32.55,bar,32.55,33.0,25.0,18.0,False,False,0,36.5,OFF,STABLE
2026-01-01 00:01:00,11270,27.52,bar,27.52,33.0,25.0,18.0,False,False,0,36.9,UNLOADED,FALLING
2026-01-01 00:02:00,16383,40.0,bar,27.52,40.0,25.0,18.0,False,False,0,37.5,LOADED,RISING
2026-01-01 00:03:00,14354,35.05,bar,27.52,40.0,25.0,18.0,False,False,0,38.2,UNLOADED,FALLING
2026-01-01 00:04:00,14158,34.57,bar,27.52,40.0,25.0,18.0,False,False,0,39.3,OFF,STABLE
2026-01-01 00:05:00,12043,29.4,bar,27.52,40.0,25.0,18.0,False,False,0,39.3,UNLOADED,FALLING
2026-01-01 00:06:00,11898,29.05,bar,27.52,40.0,25.0,18.0,False,False,0,39.4,OFF,STABLE
2026-01-01 00:07:00,10454,25.53,bar,25.53,40.0,25.0,18.0,False,False,0,40.7,UNLOADED,FALLING
2026-01-01 00:08:00,16383,40.0,bar,25.53,40.0,25.0,18.0,False,False,0,38.7,LOADED,RISING
2026-01-01 00:09:00,14298,34.91,bar,25.53,40.0,25.0,18.0,False,False,0,39.6,UNLOADED,FALLING
2026-01-01 00:10:00,12749,31.13,bar,25.53,40.0,25.0,18.0,False,False,0,39.2,UNLOADED,FALLING
2026-01-01 00:11:00,11525,28.14,bar,25.53,40.0,25.0,18.0,False,False,0,38.7,UNLOADED,FALLING
2026-01-01 00:12:00,10161,24.81,bar,24.81,40.0,25.0,18.0,True,False,1,38.9,UNLOADED,FALLING
2026-01-01 00:13:00,16383,40.0,bar,24.81,40.0,25.0,18.0,False,False,0,38.3,LOADED,RISING
2026-01-01 00:14:00,16203,39.56,bar,24.81,40.0,25.0,18.0,False,False,0,40.1,OFF,STABLE
2026-01-01 00:15:00,14513,35.44,bar,24.81,40.0,25.0,18.0,False,False,0,42.1,UNLOADED,FALLING
2026-01-01 00:16:00,12839,31.35,bar,24.81,40.0,25.0,18.0,False,False,0,42.4,UNLOADED,FALLING
2026-01-01 00:17:00,11293,27.57,bar,24.81,40.0,25.0,18.0,False,False,0,42.3,UNLOADED,FALLING
2026-01-01 00:18:00,16383,40.0,bar,24.81,40.0,25.0,18.0,False,False,0,40.9,LOADED,RISING
2026-01-01 00:19:00,14269,34.84,bar,24.81,40.0,25.0,18.0,False,False,0,39.3,UNLOADED,FALLING
