event_type,start_timestamp,end_timestamp,duration_minutes
LAZY_IDLE,2025-02-11 17:50:00,2025-02-11 18:28:00,38
LAZY_IDLE,2025-07-23 09:33:00,2025-07-23 09:54:00,21
LAZY_IDLE,2025-01-15 10:11:00,2025-01-15 10:33:00,22
LAZY_IDLE,2025-04-16 10:46:00,2025-04-16 11:13:00,27
LAZY_IDLE,2025-09-01 17:47:00,2025-09-01 18:26:00,39
LAZY_IDLE,2025-01-14 07:26:00,2025-01-14 08:03:00,37
LAZY_IDLE,2025-04-07 11:24:00,2025-04-07 12:06:00,42
LAZY_IDLE,2025-11-10 16:16:00,2025-11-10 16:58:00,42
LAZY_IDLE,2025-09-20 08:46:00,2025-09-20 09:19:00,33
LAZY_IDLE,2025-04-17 08:58:00,2025-04-17 09:32:00,34
LAZY_IDLE,2025-10-11 13:04:00,2025-10-11 13:32:00,28
LAZY_IDLE,2025-01-03 12:23:00,2025-01-03 13:07:00,44
LAZY_IDLE,2025-03-19 08:20:00,2025-03-19 09:02:00,42
LAZY_IDLE,2025-07-23 17:33:00,2025-07-23 18:03:00,30
LAZY_IDLE,2025-05-15 07:48:00,2025-05-15 08:12:00,24
LAZY_IDLE,2025-04-15 10:26:00,2025-04-15 11:10:00,44
LAZY_IDLE,2025-06-12 11:32:00,2025-06-12 11:55:00,23
LAZY_IDLE,2025-02-14 10:29:00,2025-02-14 11:01:00,32
MD_BREACH_RISK,2025-02-17 10:53:00,2025-02-17 11:14:00,21
MD_BREACH_RISK,2025-06-16 16:30:00,2025-06-16 16:48:00,18
MD_BREACH_RISK,2025-01-22 07:58:00,2025-01-22 08:22:00,24
MD_BREACH_RISK,2025-09-17 09:50:00,2025-09-17 10:03:00,13
MD_BREACH_RISK,2025-07-02 18:19:00,2025-07-02 18:31:00,12
MD_BREACH_RISK,2025-09-24 16:57:00,2025-09-24 17:16:00,19
MD_BREACH_RISK,2025-10-31 11:26:00,2025-10-31 11:47:00,21
MD_BREACH_RISK,2025-10-07 11:52:00,2025-10-07 12:08:00,16
MD_BREACH_RISK,2025-12-08 09:33:00,2025-12-08 09:45:00,12
MD_BREACH_RISK,2025-01-23 07:15:00,2025-01-23 07:32:00,17
MD_BREACH_RISK,2025-05-21 08:55:00,2025-05-21 09:07:00,12
MD_BREACH_RISK,2025-04-23 15:43:00,2025-04-23 15:56:00,13
PNEUMATIC_LEAK,2025-07-03 14:44:00,2025-07-03 15:07:00,23
PNEUMATIC_LEAK,2025-08-07 18:42:00,2025-08-07 19:17:00,35
PNEUMATIC_LEAK,2025-06-26 10:42:00,2025-06-26 11:02:00,20
PNEUMATIC_LEAK,2025-06-28 12:25:00,2025-06-28 12:51:00,26
PNEUMATIC_LEAK,2025-04-11 16:12:00,2025-04-11 16:35:00,23
PNEUMATIC_LEAK,2025-12-05 18:10:00,2025-12-05 18:45:00,35
PNEUMATIC_LEAK,2025-02-04 15:48:00,2025-02-04 16:22:00,34
PNEUMATIC_LEAK,2025-11-04 14:30:00,2025-11-04 14:50:00,20
PNEUMATIC_LEAK,2025-09-16 16:10:00,2025-09-16 16:32:00,22
PNEUMATIC_LEAK,2025-03-20 16:37:00,2025-03-20 17:06:00,29
VIBRATION_ZONE_D,2025-07-03 14:05:00,2025-07-03 14:17:00,12
VIBRATION_ZONE_D,2025-11-06 14:54:00,2025-11-06 15:13:00,19
VIBRATION_ZONE_D,2025-09-27 09:04:00,2025-09-27 09:15:00,11
VIBRATION_ZONE_D,2025-11-28 08:34:00,2025-11-28 08:47:00,13
VIBRATION_ZONE_D,2025-01-28 11:14:00,2025-01-28 11:25:00,11
VIBRATION_ZONE_D,2025-01-16 10:22:00,2025-01-16 10:42:00,20
CONFLICT_SCENARIO,2025-06-03 09:47:00,2025-06-03 10:14:00,27
CONFLICT_SCENARIO,2025-05-10 09:41:00,2025-05-10 09:58:00,17
CONFLICT_SCENARIO,2025-04-12 13:40:00,2025-04-12 14:05:00,25
OVERHEATING_PANEL,2025-04-14 14:41:00,2025-04-14 15:16:00,35
OVERHEATING_PANEL,2025-08-30 10:57:00,2025-08-30 11:24:00,27
OVERHEATING_PANEL,2025-11-08 08:06:00,2025-11-08 08:35:00,29
OVERHEATING_PANEL,2025-03-11 12:45:00,2025-03-11 13:08:00,23
OVERHEATING_PANEL,2025-03-10 10:06:00,2025-03-10 10:28:00,22
OVERHEATING_PANEL,2025-12-27 12:45:00,2025-12-27 13:17:00,32
